,,,,,,,,,,,,
Date,,Name,Type,url,Holiday year,country,url1,url2,Region,Importance,Description,ImpactID
14 Apr,Friday,Ambedkar Jayanti,Central Government Holiday,https://www.timeanddate.com/holidays/india/ambedkar-jayanti,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
15 Apr,Saturday,Mesadi / Vaisakhadi,Restricted Holiday,https://www.timeanddate.com/holidays/india/mesadi-vaisakhadi,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
21 Apr,Friday,Jamat Ul-Vida (Tentative Date),Restricted Holiday,https://www.timeanddate.com/holidays/india/jamat-ul-vida,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
22 Apr,Saturday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday,https://www.timeanddate.com/holidays/india/eid-ul-fitar,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
22 Apr,Saturday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday",https://www.timeanddate.com/holidays/india/eid-ul-fitar,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
1 May,Monday,International Worker's Day,Observance,https://www.timeanddate.com/holidays/india/may-day,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
5 May,Friday,Buddha Purnima/Vesak,Gazetted Holiday,https://www.timeanddate.com/holidays/india/buddha-purnima,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
9 May,Tuesday,Birthday of Rabindranath,Restricted Holiday,https://www.timeanddate.com/holidays/india/rabindranath-birthday,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
14 May,Sunday,Mothers' Day,Observance,https://www.timeanddate.com/holidays/india/mother-day,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
18 Jun,Sunday,Fathers' Day,Observance,https://www.timeanddate.com/holidays/india/father-day,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
20 Jun,Tuesday,Rath Yatra,Restricted Holiday,https://www.timeanddate.com/holidays/india/rath-yatra,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
21 Jun,Wednesday,June Solstice,Season,https://www.timeanddate.com/calendar/june-solstice.html,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
29 Jun,Thursday,Bakrid/Eid ul-Adha,Gazetted Holiday,https://www.timeanddate.com/holidays/india/eid-ul-adha,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
3 Jul,Monday,Guru Purnima,Observance,https://www.timeanddate.com/holidays/india/guru-purnima,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
29 Jul,Saturday,Muharram/Ashura,Gazetted Holiday,https://www.timeanddate.com/holidays/india/muharram,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
6 Aug,Sunday,Friendship Day,Observance,https://www.timeanddate.com/holidays/india/friendship-day,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
15 Aug,Tuesday,Independence Day,Gazetted Holiday,https://www.timeanddate.com/holidays/india/independence-day,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
16 Aug,Wednesday,Parsi New Year,Restricted Holiday,https://www.timeanddate.com/holidays/india/parsi-new-year,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
20 Aug,Sunday,Vinayaka Chathurthi,Restricted Holiday,https://www.timeanddate.com/holidays/india/vinayak-chaturthi,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
29 Aug,Tuesday,Onam,Restricted Holiday,https://www.timeanddate.com/holidays/india/onam,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
30 Aug,Wednesday,Raksha Bandhan (Rakhi),Restricted Holiday,https://www.timeanddate.com/holidays/india/raksha-bandhan,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
6 Sep,Wednesday,Janmashtami (Smarta),Restricted Holiday,https://www.timeanddate.com/holidays/india/janmashtami-smarta,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
7 Sep,Thursday,Janmashtami,Gazetted Holiday,https://www.timeanddate.com/holidays/india/janmashtami,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
19 Sep,Tuesday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday,https://www.timeanddate.com/holidays/india/ganesh-chaturthi,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
23 Sep,Saturday,September Equinox,Season,https://www.timeanddate.com/calendar/september-equinox.html,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
28 Sep,Thursday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday,https://www.timeanddate.com/holidays/india/milad-un-nabi,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
2 Oct,Monday,Mahatma Gandhi Jayanti,Gazetted Holiday,https://www.timeanddate.com/holidays/india/mahatma-gandhi-jayanti,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
15 Oct,Sunday,First Day of Sharad Navratri,"Observance, Hinduism",https://www.timeanddate.com/holidays/india/navratri,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
20 Oct,Friday,First Day of Durga Puja Festivities,"Observance, Hinduism",https://www.timeanddate.com/holidays/india/durga-puja,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
21 Oct,Saturday,Maha Saptami,Restricted Holiday,https://www.timeanddate.com/holidays/india/maha-saptami,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
22 Oct,Sunday,Maha Ashtami,Restricted Holiday,https://www.timeanddate.com/holidays/india/maha-ashtami,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
23 Oct,Monday,Maha Navami,Restricted Holiday,https://www.timeanddate.com/holidays/india/maha-navami,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
24 Oct,Tuesday,Dussehra,Gazetted Holiday,https://www.timeanddate.com/holidays/india/dussehra,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
28 Oct,Saturday,Maharishi Valmiki Jayanti,Restricted Holiday,https://www.timeanddate.com/holidays/india/maharishi-valmeki-jayanti,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
31 Oct,Tuesday,Halloween,Observance,https://www.timeanddate.com/holidays/india/halloween,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
1 Nov,Wednesday,Karaka Chaturthi (Karva Chauth),Restricted Holiday,https://www.timeanddate.com/holidays/india/karaka-chaturthi,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
12 Nov,Sunday,Naraka Chaturdasi,Restricted Holiday,https://www.timeanddate.com/holidays/india/naraka-chaturdasi,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
12 Nov,Sunday,Diwali/Deepavali,Gazetted Holiday,https://www.timeanddate.com/holidays/india/diwali,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
13 Nov,Monday,Govardhan Puja,Restricted Holiday,https://www.timeanddate.com/holidays/india/govardhan-puja,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
15 Nov,Wednesday,Bhai Duj,Restricted Holiday,https://www.timeanddate.com/holidays/india/bhai-duj,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
19 Nov,Sunday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday,https://www.timeanddate.com/holidays/india/chhat-puja,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
24 Nov,Friday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday,https://www.timeanddate.com/holidays/india/guru-teg-bahadur-martyrdom-day,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
27 Nov,Monday,Guru Nanak Jayanti,Gazetted Holiday,https://www.timeanddate.com/holidays/india/guru-nanak-jayanti,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
8 Dec,Friday,First Day of Hanukkah,Observance,https://www.timeanddate.com/holidays/india/first-day-of-chanukah,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
15 Dec,Friday,Last day of Hanukkah,Observance,https://www.timeanddate.com/holidays/india/last-day-of-chanukah,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
22 Dec,Friday,December Solstice,Season,https://www.timeanddate.com/calendar/december-solstice.html,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
24 Dec,Sunday,Christmas Eve,Restricted Holiday,https://www.timeanddate.com/holidays/india/christmas-eve,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
